Title,Authors,Publication Name,Publication Year,DOI,Link
Investigating the impact of cruciform stepped spoiler bars on floc formation and flocculation kinetics parameters,Zhao J.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130371,https://api.elsevier.com/content/abstract/scopus_id/85208466573
Bubble boundary R-CNN: A multitask model for segmenting and reconstructing overlapping bubbles,Kang Q.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130300,https://api.elsevier.com/content/abstract/scopus_id/85208466564
Research hotspots and trends of molecular dynamics simulations in membrane-based water treatment: A bibliometric analysis from 2003 to 2023,Liu C.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130398,https://api.elsevier.com/content/abstract/scopus_id/85208457223
Effect of pore chemistry regulations on CO<inf>2</inf> capture efficiency: Charge transfer between anchored first-row transition open metal sites and frameworks,Liu S.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130099,https://api.elsevier.com/content/abstract/scopus_id/85208338979
CO<inf>2</inf> Fixation via epoxide cycloaddition with a highly active and stable MOF-808/GO composite catalyst,Qu Z.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130448,https://api.elsevier.com/content/abstract/scopus_id/85208332090
"Electrospun bimodal nanofibrous membranes for high-performance, multifunctional, and light-weight air filtration: A review",Shao Z.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130417,https://api.elsevier.com/content/abstract/scopus_id/85208287146
Simulation and optimisation of vacuum (pressure) swing adsorption with simultaneous consideration of real vacuum pump data and bed fluidisation,Liao Y.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130354,https://api.elsevier.com/content/abstract/scopus_id/85208278887
Experimental research on the bubble dynamic characteristics during carbon capture in the novel prepared functionalized porous ionic liquids,Gao D.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130392,https://api.elsevier.com/content/abstract/scopus_id/85208223816
Honeycomb-like porous carbons derived from multistep pyrolysis of artificial humic acids as efficient sorbents for removing diethyl phthalate,Cheng H.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130212,https://api.elsevier.com/content/abstract/scopus_id/85207971292
Mechanism and kinetics of efficient removal of as from a high arsenic-bearing ZnSO<inf>4</inf> solution using ultrasound enhanced oxygen,Zhang Q.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130272,https://api.elsevier.com/content/abstract/scopus_id/85207885844
Highly selective removal of fluorine from wastewater containing phosphorus and fluorine in a microreaction system,Chen Q.,Separation and Purification Technology,2025-06-07,10.1016/j.seppur.2024.130255,https://api.elsevier.com/content/abstract/scopus_id/85207782493
Miniaturized power-integrated and self-powered sensor systems for advanced biomedical applications,Yun J.,Sensors and Actuators Reports,2025-06-01,10.1016/j.snr.2024.100260,https://api.elsevier.com/content/abstract/scopus_id/85210295855
"A framework model to prioritize groundwater management actions based on the concept of dominant risk: An application to the state of Espírito Santo, Brazil",Pacheco F.A.L.,Case Studies in Chemical and Environmental Engineering,2025-06-01,10.1016/j.cscee.2024.101032,https://api.elsevier.com/content/abstract/scopus_id/85210140265
"Fraud detection skills of Thai Gen Z accountants: The roles of digital competency, data science literacy and diagnostic skills",Imjai N.,International Journal of Information Management Data Insights,2025-06-01,10.1016/j.jjimei.2024.100308,https://api.elsevier.com/content/abstract/scopus_id/85210138368
High-redshift cosmology by Gamma-Ray Bursts: An overview,Bargiacchi G.,New Astronomy Reviews,2025-06-01,10.1016/j.newar.2024.101712,https://api.elsevier.com/content/abstract/scopus_id/85210133393
Predicting leishmaniasis outbreaks in Brazil using machine learning models based on disease surveillance and meteorological data,Donizette A.C.,Operations Research for Health Care,2025-06-01,10.1016/j.orhc.2024.100453,https://api.elsevier.com/content/abstract/scopus_id/85210130914
Monitoring semantic relatedness and revealing fairness and biases through trend tests,Bourguet J.R.,International Journal of Information Management Data Insights,2025-06-01,10.1016/j.jjimei.2024.100305,https://api.elsevier.com/content/abstract/scopus_id/85210130539
Digital twin-driven virtual commissioning for robotic machining enhanced by machine learning,Ni H.,Robotics and Computer-Integrated Manufacturing,2025-06-01,10.1016/j.rcim.2024.102908,https://api.elsevier.com/content/abstract/scopus_id/85210129936
HFNet: Semantic and Differential Heterogenous Fusion Network for Remote Sensing Image Change Detection,Han Y.,Journal of Geovisualization and Spatial Analysis,2025-06-01,10.1007/s41651-024-00202-3,https://api.elsevier.com/content/abstract/scopus_id/85210092497
Aggregating bipolar opinions through bipolar assumption-based argumentation,Dickie C.,Autonomous Agents and Multi-Agent Systems,2025-06-01,10.1007/s10458-024-09684-3,https://api.elsevier.com/content/abstract/scopus_id/85210068125
Biodiesel production of WCO-neem oil and mixed using pilot plant scale with ultrasound and overhead stirred and characteristic of emissions in fire tube boiler,Suherman ,Case Studies in Chemical and Environmental Engineering,2025-06-01,10.1016/j.cscee.2024.101029,https://api.elsevier.com/content/abstract/scopus_id/85210064714
A safety posture field framework for mobile manipulators based on human–robot interaction trend and platform-arm coupling motion,Tao Y.,Robotics and Computer-Integrated Manufacturing,2025-06-01,10.1016/j.rcim.2024.102903,https://api.elsevier.com/content/abstract/scopus_id/85209951450
Efficient tool path planning method of ball-end milling for high quality manufacturing,Ma H.Y.,Robotics and Computer-Integrated Manufacturing,2025-06-01,10.1016/j.rcim.2024.102905,https://api.elsevier.com/content/abstract/scopus_id/85209878045
Assessing future flood vulnerabilities in lower vellar basin: a remote sensing approach for sustainable flood management,M S.,Journal of Building Pathology and Rehabilitation,2025-06-01,10.1007/s41024-024-00537-w,https://api.elsevier.com/content/abstract/scopus_id/85209795728
"A novel variable exponent PDE with dependency on γ(u,|∇u<inf>0,σ</inf>|) for image despeckling application",Nachaoui A.,Nonlinear Analysis: Real World Applications,2025-06-01,10.1016/j.nonrwa.2024.104264,https://api.elsevier.com/content/abstract/scopus_id/85209711808
Processing accuracy improvement of robotic ball-end milling by simultaneously optimizing tool orientation and robotic redundancy,Tan S.,Robotics and Computer-Integrated Manufacturing,2025-06-01,10.1016/j.rcim.2024.102904,https://api.elsevier.com/content/abstract/scopus_id/85209707084
A novel paradigm for solving PDEs: multi-scale neural computing,Suo W.,Acta Mechanica Sinica/Lixue Xuebao,2025-06-01,10.1007/s10409-024-24172-x,https://api.elsevier.com/content/abstract/scopus_id/85209698666
"Digital Twin-driven multi-scale characterization of machining quality: current status, challenges, and future perspectives",Fu X.,Robotics and Computer-Integrated Manufacturing,2025-06-01,10.1016/j.rcim.2024.102902,https://api.elsevier.com/content/abstract/scopus_id/85209652730
A machine learning algorithm for personalized healthy and sustainable grocery product recommendations,Jansen L.Z.H.,International Journal of Information Management Data Insights,2025-06-01,10.1016/j.jjimei.2024.100303,https://api.elsevier.com/content/abstract/scopus_id/85209551470
Challenges of implementing ChatGPT on education: Systematic literature review,García-López I.M.,International Journal of Educational Research Open,2025-06-01,10.1016/j.ijedro.2024.100401,https://api.elsevier.com/content/abstract/scopus_id/85209550098
Information gathering in POMDPs using active inference,Walraven E.,Autonomous Agents and Multi-Agent Systems,2025-06-01,10.1007/s10458-024-09683-4,https://api.elsevier.com/content/abstract/scopus_id/85209123250
Examining the effect of AI-BDA on manufacturing firm performance: An Indian approach,Narwane V.S.,International Journal of Information Management Data Insights,2025-06-01,10.1016/j.jjimei.2024.100306,https://api.elsevier.com/content/abstract/scopus_id/85209106419
User-driven technology in NGOs—A computationally intensive theory approach,Zubler M.E.,International Journal of Information Management Data Insights,2025-06-01,10.1016/j.jjimei.2024.100307,https://api.elsevier.com/content/abstract/scopus_id/85209066095
Evoattack: suppressive adversarial attacks against object detection models using evolutionary search,Chan K.H.,Automated Software Engineering,2025-06-01,10.1007/s10515-024-00470-9,https://api.elsevier.com/content/abstract/scopus_id/85208727459
Analysis of the combination of glass and polypropylene fibers on the mechanical properties of mortar,Burgos Cotrina J.A.,Journal of Building Pathology and Rehabilitation,2025-06-01,10.1007/s41024-024-00532-1,https://api.elsevier.com/content/abstract/scopus_id/85208646253
Settlement prediction of micropile supported raft using machine learning: modelling and performance evaluation,Mukherjee A.,Journal of Building Pathology and Rehabilitation,2025-06-01,10.1007/s41024-024-00531-2,https://api.elsevier.com/content/abstract/scopus_id/85208568556
Convolutional sparse coding network for sparse seismic time-frequency representation,Wei Q.,Artificial Intelligence in Geosciences,2025-06-01,10.1016/j.aiig.2024.100104,https://api.elsevier.com/content/abstract/scopus_id/85208274018
Femto-Laser Processed Metasurface With Fano Response: Applications to a High Performance Refractometric Sensor,Elshorbagy M.H.,Photonic Sensors,2025-06-01,10.1007/s13320-024-0736-y,https://api.elsevier.com/content/abstract/scopus_id/85207511719
Numerical simulation of post fire-behaviour of high strength lightweight reinforced concrete beams strengthened with basalt fiber-reinforced polymer grid and engineered cementitious composites jacket,Shareef N.A.,Journal of Building Pathology and Rehabilitation,2025-06-01,10.1007/s41024-024-00523-2,https://api.elsevier.com/content/abstract/scopus_id/85207196041
A novel composite machine learning model for the prediction of compressive strength of blended concrete,Prasad E.V.,Journal of Building Pathology and Rehabilitation,2025-06-01,10.1007/s41024-024-00520-5,https://api.elsevier.com/content/abstract/scopus_id/85206235901
"Machine learning-based rapid visual screening for building damage assessment: study of Joshimath town of Garhwal Himalaya, India",Chourasia A.,Journal of Building Pathology and Rehabilitation,2025-06-01,10.1007/s41024-024-00519-y,https://api.elsevier.com/content/abstract/scopus_id/85205947123
Knowledge Visualization of Internet Usage Pattern to Improve Students’ Academic Performance Using Prescriptive Analytic,Khamis S.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/ARASET.48.1.283298,https://api.elsevier.com/content/abstract/scopus_id/85202192231
KNN Euclidean Distance Model Performance on Aquilaria Malaccensis Oil Qualities,Amidon A.F.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.2.1628,https://api.elsevier.com/content/abstract/scopus_id/85200689457
Approximate Square and Square Root Calculation without Multiplication or Division for DSP Applications,Ellaithy D.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.2.121135,https://api.elsevier.com/content/abstract/scopus_id/85200655450
The Effect of Divisive Analysis Clustering Technique on Goodness-of-Fit Test for Multinomial Logistic Regression,Hamid H.A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.2.3948,https://api.elsevier.com/content/abstract/scopus_id/85200368103
A Study on the Best Classification Method for an Intelligent Phishing Website Detection System,Ariffin N.H.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.2.197210,https://api.elsevier.com/content/abstract/scopus_id/85200354199
Beyond the Court: How Virtual Reality is Changing the Game for Athletes,Soorinarayanan S.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.1.7788,https://api.elsevier.com/content/abstract/scopus_id/85199775589
Lightweight White Blood Cells Detection Using Fusion of YOLOv5 and Attention Model,Rohaziat N.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.1.117136,https://api.elsevier.com/content/abstract/scopus_id/85199751285
Machine Learning Approaches for Malware Classification in Android Platform: A Review,Abubaker H.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.1.248268,https://api.elsevier.com/content/abstract/scopus_id/85199343100
Innovative Cost-Efficient Cloud Computing-Based Models for Disasters Management,Abdelaziz A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.1.100116,https://api.elsevier.com/content/abstract/scopus_id/85199304522
Enhanced Generalization Performance in Deep Learning for Monitoring Driver Distraction: A Systematic Review,Joel John M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.1.137151,https://api.elsevier.com/content/abstract/scopus_id/85199184010
A Robust Ensemble Learning Approach for Malware Detection and Classification,Shelke M.V.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-06-01,10.37934/araset.48.1.152167,https://api.elsevier.com/content/abstract/scopus_id/85199144996
Atmospheric scattering model and dark channel prior constraint network for environmental monitoring under hazy conditions,Han L.,Journal of Environmental Sciences (China),2025-06-01,10.1016/j.jes.2024.04.037,https://api.elsevier.com/content/abstract/scopus_id/85193453182
High-throughput screening of axially bonded dual atom catalysts for enhanced electrocatalytic reactions: The effect of van der Waals interaction,Tamtaji M.,Journal of Materials Science and Technology,2025-05-20,10.1016/j.jmst.2024.09.009,https://api.elsevier.com/content/abstract/scopus_id/85206947481
An alternating shifted higher order power method based algorithm for rank-R Hermitian approximation and solving Hermitian CP-decomposition problems,Xin X.,Journal of Computational and Applied Mathematics,2025-05-15,10.1016/j.cam.2024.116385,https://api.elsevier.com/content/abstract/scopus_id/85209663808
A stochastic Bregman golden ratio algorithm for non-Lipschitz stochastic mixed variational inequalities with application to resource share problems,Long X.J.,Journal of Computational and Applied Mathematics,2025-05-15,10.1016/j.cam.2024.116381,https://api.elsevier.com/content/abstract/scopus_id/85209655628
An accelerated decentralized stochastic optimization algorithm with inexact model,Zhang X.,Journal of Computational and Applied Mathematics,2025-05-15,10.1016/j.cam.2024.116383,https://api.elsevier.com/content/abstract/scopus_id/85209564919
An immersed interface neural network for elliptic interface problems,Zhang X.,Journal of Computational and Applied Mathematics,2025-05-15,10.1016/j.cam.2024.116372,https://api.elsevier.com/content/abstract/scopus_id/85209548310
Uncertain c-means clustering method with application to imprecise observations,Xu M.,Journal of Computational and Applied Mathematics,2025-05-15,10.1016/j.cam.2024.116345,https://api.elsevier.com/content/abstract/scopus_id/85209067628
Effects of grain size on the corrosion inhibition and adsorption performance of benzotriazole on carbon steel in NaCl solution,Wang P.,Journal of Materials Science and Technology,2025-05-10,10.1016/j.jmst.2024.07.050,https://api.elsevier.com/content/abstract/scopus_id/85206539169
Machine learning and DFT dual-guidance of carbon dots implanted SrTiO<inf>3</inf> hollow nanosphere for efficient all-pH-value photocatalysis,Wang L.,Journal of Materials Science and Technology,2025-05-10,10.1016/j.jmst.2024.08.028,https://api.elsevier.com/content/abstract/scopus_id/85206522861
Recent progress on in-situ characterization of laser additive manufacturing process by synchrotron radiation,Lu W.,Journal of Materials Science and Technology,2025-05-10,10.1016/j.jmst.2024.07.047,https://api.elsevier.com/content/abstract/scopus_id/85206321167
A novel atomic mobility model for alloys under pressure and its application in high pressure heat treatment Al-Si alloys by integrating CALPHAD and machine learning,Yi W.,Journal of Materials Science and Technology,2025-05-10,10.1016/j.jmst.2024.08.017,https://api.elsevier.com/content/abstract/scopus_id/85204173066
Graph convolutional network for compositional data,Lu S.,Information Fusion,2025-05-01,10.1016/j.inffus.2024.102798,https://api.elsevier.com/content/abstract/scopus_id/85210313738
FTAN: Feature Transform and Alignment Network for cross-domain specific emitter identification,Xiao Z.,Signal Processing,2025-05-01,10.1016/j.sigpro.2024.109800,https://api.elsevier.com/content/abstract/scopus_id/85210308238
"Quantum social network analysis: Methodology, implementation, challenges, and future directions",Singh S.S.,Information Fusion,2025-05-01,10.1016/j.inffus.2024.102808,https://api.elsevier.com/content/abstract/scopus_id/85210297839
Hybrid multivariate time series prediction system fusing transfer entropy and local relative density,Huang X.,Information Fusion,2025-05-01,10.1016/j.inffus.2024.102817,https://api.elsevier.com/content/abstract/scopus_id/85210277042
Multifunctional adversarial examples: A novel mechanism for authenticatable privacy protection of images,Li M.,Signal Processing,2025-05-01,10.1016/j.sigpro.2024.109816,https://api.elsevier.com/content/abstract/scopus_id/85210276506
Physical prior-guided deep fusion network with shading cues for shape from polarization,Liu R.,Information Fusion,2025-05-01,10.1016/j.inffus.2024.102805,https://api.elsevier.com/content/abstract/scopus_id/85210138291
FedKD-IDS: A robust intrusion detection system using knowledge distillation-based semi-supervised federated learning and anti-poisoning attack mechanism,Quyen N.H.,Information Fusion,2025-05-01,10.1016/j.inffus.2024.102807,https://api.elsevier.com/content/abstract/scopus_id/85210132113
Game-theory-based complexity allocation for 360-degree video coding,Lin J.,Signal Processing,2025-05-01,10.1016/j.sigpro.2024.109807,https://api.elsevier.com/content/abstract/scopus_id/85210131789
A fast-converging Bayesian tensor inference method for wireless channel estimation,Sun Y.,Signal Processing,2025-05-01,10.1016/j.sigpro.2024.109770,https://api.elsevier.com/content/abstract/scopus_id/85210124771
Incomplete multi-view clustering based on hypergraph,Chen J.,Information Fusion,2025-05-01,10.1016/j.inffus.2024.102804,https://api.elsevier.com/content/abstract/scopus_id/85210119858
Sparse Bayesian Learning with Jeffreys’ Noninformative Prior for Off-Grid DOA Estimation,Karimi M.,Signal Processing,2025-05-01,10.1016/j.sigpro.2024.109809,https://api.elsevier.com/content/abstract/scopus_id/85210115446
IF-USOD: Multimodal information fusion interactive feature enhancement architecture for underwater salient object detection,Yuan G.,Information Fusion,2025-05-01,10.1016/j.inffus.2024.102806,https://api.elsevier.com/content/abstract/scopus_id/85210100875
Self-supervised learning-based multi-source spectral fusion for fruit quality evaluation: A case study in mango fruit ripeness prediction,Zhang L.,Information Fusion,2025-05-01,10.1016/j.inffus.2024.102814,https://api.elsevier.com/content/abstract/scopus_id/85210066475
Model free data assimilation with Takens embedding,Wang Z.,Journal of Computational and Applied Mathematics,2025-05-01,10.1016/j.cam.2024.116399,https://api.elsevier.com/content/abstract/scopus_id/85210056555
Codesign of transmit waveform and reflective beamforming for active reconfigurable intelligent surface-aided MIMO ISAC system,Li H.,Signal Processing,2025-05-01,10.1016/j.sigpro.2024.109795,https://api.elsevier.com/content/abstract/scopus_id/85210022237
Fast convergence rates and trajectory convergence of a Tikhonov regularized inertial primal–dual dynamical system with time scaling and vanishing damping,Zhu T.T.,Journal of Computational and Applied Mathematics,2025-05-01,10.1016/j.cam.2024.116394,https://api.elsevier.com/content/abstract/scopus_id/85210017646
An interference power allocation method against multi-objective radars based on optimized proximal policy optimization,Zhang W.,Signal Processing,2025-05-01,10.1016/j.sigpro.2024.109785,https://api.elsevier.com/content/abstract/scopus_id/85209952614
A novel Gaussian-Student's t-Skew mixture distribution based Kalman filter,Zou H.,Signal Processing,2025-05-01,10.1016/j.sigpro.2024.109787,https://api.elsevier.com/content/abstract/scopus_id/85209939297
Computational approaches for predicting drug-disease associations: a comprehensive review,Huang Z.,Frontiers of Computer Science,2025-05-01,10.1007/s11704-024-40072-y,https://api.elsevier.com/content/abstract/scopus_id/85209907133
System log isolation for containers,Wang K.,Frontiers of Computer Science,2025-05-01,10.1007/s11704-024-2568-8,https://api.elsevier.com/content/abstract/scopus_id/85209769594
Expanding the sequence spaces of synthetic binding protein using deep learning-based framework ProteinMPNN,Li Y.,Frontiers of Computer Science,2025-05-01,10.1007/s11704-024-31060-3,https://api.elsevier.com/content/abstract/scopus_id/85209766314
MetaGIN: a lightweight framework for molecular property prediction,Zhang X.,Frontiers of Computer Science,2025-05-01,10.1007/s11704-024-3784-y,https://api.elsevier.com/content/abstract/scopus_id/85209753097
Interpretation with baseline shapley value for feature groups on tree models,Xu F.,Frontiers of Computer Science,2025-05-01,10.1007/s11704-024-40117-2,https://api.elsevier.com/content/abstract/scopus_id/85209745698
The future of cognitive strategy-enhanced persuasive dialogue agents: new perspectives and trends,Chen M.,Frontiers of Computer Science,2025-05-01,10.1007/s11704-024-40057-x,https://api.elsevier.com/content/abstract/scopus_id/85209728561
"Application of machine learning in drug side effect prediction: databases, methods, and challenges",Zhao H.,Frontiers of Computer Science,2025-05-01,10.1007/s11704-024-31063-0,https://api.elsevier.com/content/abstract/scopus_id/85209709696
Kalman filter based state estimation for the flexible multibody system described by ANCF,Yu Z.,Acta Mechanica Sinica/Lixue Xuebao,2025-05-01,10.1007/s10409-024-24373-x,https://api.elsevier.com/content/abstract/scopus_id/85209694446
Genetic algorithm-enabled mechanical metamaterials for vibration isolation with different payloads,Song X.,Journal of Materiomics,2025-05-01,10.1016/j.jmat.2024.100944,https://api.elsevier.com/content/abstract/scopus_id/85209669354
Absolute concentration robustness: Algebra and geometry,García Puente L.D.,Journal of Symbolic Computation,2025-05-01,10.1016/j.jsc.2024.102398,https://api.elsevier.com/content/abstract/scopus_id/85209235636
Impact of graphene nanoparticles on DLP-printed parts' mechanical behavior,Hossain M.I.,Advances in Industrial and Manufacturing Engineering,2025-05-01,10.1016/j.aime.2024.100153,https://api.elsevier.com/content/abstract/scopus_id/85208767252
Failure prediction of thermal barrier coatings on turbine blades under calcium-magnesium-alumina-silicate corrosion and thermal shock,Liu Z.,Acta Mechanica Sinica/Lixue Xuebao,2025-05-01,10.1007/s10409-024-24285-x,https://api.elsevier.com/content/abstract/scopus_id/85208720604
Testing the equality of distributions using integrated maximum mean discrepancy,Ding T.,Journal of Statistical Planning and Inference,2025-05-01,10.1016/j.jspi.2024.106246,https://api.elsevier.com/content/abstract/scopus_id/85207799933
"Organic frameworks (MOFs, COFs, and HOFs) based membrane materials for CO<inf>2</inf> gas-selective separation: A systematic review",Luo W.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130195,https://api.elsevier.com/content/abstract/scopus_id/85207653989
The role of feed spacers in membrane technology: 45 years of research,Ibrahim Y.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130109,https://api.elsevier.com/content/abstract/scopus_id/85207648392
Adoption of AI technologies in hospitals: Effects on consumer behaviour and health outcomes,Mishra P.,Journal of Medicinal and Pharmaceutical Chemistry Research,2025-05-01,10.48309/jmpcr.2025.474077.1396,https://api.elsevier.com/content/abstract/scopus_id/85207437496
"Preparation and optimization of Mn-based catalysts for low-temperature NH<inf>3</inf>-SCR: Component selection, synthesis strategy and influencing factors",Niu Z.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130103,https://api.elsevier.com/content/abstract/scopus_id/85207261331
Microscopic study on the memory effect of methane hydrate in the presence of silica nanoparticles: Ⅰ. Dissociation mechanism &amp; guest supersaturated hypothesis,Shi B.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130100,https://api.elsevier.com/content/abstract/scopus_id/85207241546
Risk assessment model used to predict discharge care after total hip and total knee arthroplasty: A population-based study,Alves H.,Journal of Orthopaedics,2025-05-01,10.1016/j.jor.2024.10.031,https://api.elsevier.com/content/abstract/scopus_id/85207108936
Recent advance of adsorbent materials for indoor dehumidification,Chao Y.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130096,https://api.elsevier.com/content/abstract/scopus_id/85207079841
Microscopic study on the memory effect of methane hydrate in the presence of silica nanoparticles: Ⅱ. Residual structure hypothesis &amp; impurity imprinting hypothesis,Liao Q.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130101,https://api.elsevier.com/content/abstract/scopus_id/85207078028
A cyclic self-enhancement technique for complex defect profile reconstruction based on thermographic evaluation,Liu H.,Acta Mechanica Sinica/Lixue Xuebao,2025-05-01,10.1007/s10409-024-24076-x,https://api.elsevier.com/content/abstract/scopus_id/85207075473
Aerodynamic/control coupling optimization of reentry vehicle under wide speed range,Jiang L.,Acta Mechanica Sinica/Lixue Xuebao,2025-05-01,10.1007/s10409-024-24259-x,https://api.elsevier.com/content/abstract/scopus_id/85207045945
Development of efficient CO<inf>2</inf> adsorbents: Synthesis and performance evaluation of dopamine-modified halloysite nanotubes loaded with ZIF-8,Meng S.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130179,https://api.elsevier.com/content/abstract/scopus_id/85206938964
Spin-regulation of transition metal promoted fenton-like catalysis: Exploring applications and potential in water remediation,Chen F.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130200,https://api.elsevier.com/content/abstract/scopus_id/85206932607
Gadolinium doping-induced electronic structure optimization of MIL-101-NH<inf>2</inf>: Efficient adsorption of arsenic (V) and phosphorus and electrochemical regeneration,Wan Z.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130133,https://api.elsevier.com/content/abstract/scopus_id/85206690733
Removal of emerging organic micropollutants from real hospital wastewater by modified ultrafiltration membranes,Kose-Mutlu B.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.129960,https://api.elsevier.com/content/abstract/scopus_id/85206646587
An interpretable surrogate model for H<inf>2</inf>S solubility forecasting in ionic liquids based on machine learning,He Y.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130061,https://api.elsevier.com/content/abstract/scopus_id/85206470069
Energy-efficient heat pump-assisted pre-concentration integrated with sequential [EMIM][BF<inf>4</inf>] and ethylene glycol-based extractive distillation for enhanced recovery of ethanol and isopropyl alcohol from wastewater,Guo C.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130073,https://api.elsevier.com/content/abstract/scopus_id/85206317342
Achieving high strength and high-electrical-conductivity of Cu-Ni-Si alloys via regulating nanoprecipitation behavior through simplified process,Xue W.,Journal of Materials Science and Technology,2025-05-01,10.1016/j.jmst.2024.07.039,https://api.elsevier.com/content/abstract/scopus_id/85206163554
"A review of energy intensification strategies for distillation processes: Cyclic operation, stacking, heat pumps, side-streams, dividing walls and beyond",Tang W.T.,Separation and Purification Technology,2025-05-01,10.1016/j.seppur.2024.130030,https://api.elsevier.com/content/abstract/scopus_id/85206102369
Enhancing strength and irradiation tolerance of Mg alloy via co-addition of Mn and Ca elements,Zhang W.,Journal of Materials Science and Technology,2025-05-01,10.1016/j.jmst.2024.07.052,https://api.elsevier.com/content/abstract/scopus_id/85206085117
Potential of umami molecules against SARS-CoV-2 (Omicron) S-RBD/hACE2 interaction: an in-silico study,Cui Z.,Journal of Future Foods,2025-05-01,10.1016/j.jfutfo.2024.07.008,https://api.elsevier.com/content/abstract/scopus_id/85204688053
A review of the progress and challenges of counter-gravity casting,Du D.,Journal of Materials Science and Technology,2025-05-01,10.1016/j.jmst.2024.07.037,https://api.elsevier.com/content/abstract/scopus_id/85204352035
Algorithm for globally identifiable reparametrizations of ODEs,Falkensteiner S.,Journal of Symbolic Computation,2025-05-01,10.1016/j.jsc.2024.102385,https://api.elsevier.com/content/abstract/scopus_id/85204185813
Graph sequence learning for premise selection,Holden E.K.,Journal of Symbolic Computation,2025-05-01,10.1016/j.jsc.2024.102376,https://api.elsevier.com/content/abstract/scopus_id/85203417373
Zero-inflated multivariate tobit regression modeling,Tang B.,Journal of Statistical Planning and Inference,2025-05-01,10.1016/j.jspi.2024.106229,https://api.elsevier.com/content/abstract/scopus_id/85203066755
Invariant neural architecture for learning term synthesis in instantiation proving,Piepenbrock J.,Journal of Symbolic Computation,2025-05-01,10.1016/j.jsc.2024.102375,https://api.elsevier.com/content/abstract/scopus_id/85203064613
A Platform for Emotional Evaluation and Psychological Support: Development and Usability Evaluation using SUMI,Rashid N.A.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-05-01,10.37934/ARASET.47.2.5967,https://api.elsevier.com/content/abstract/scopus_id/85201057813
Ransomware Classification with Deep Neural Network and Bi-LSTM,Ur Rehman Shaikh M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-05-01,10.37934/ARASET.47.2.266280,https://api.elsevier.com/content/abstract/scopus_id/85201054198
Predicting Motivation among GKP Recipients using Regression Techniques in Machine Learning: An Implementation of Rapid Miner,Razi N.F.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-05-01,10.37934/ARASET.47.2.1527,https://api.elsevier.com/content/abstract/scopus_id/85201050892
Deep Smart Cities: A Review of Smart Cities Applications-Based an Inference of Deep Learning Upon IoT Devices,Alajlan N.N.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-05-01,10.37934/ARASET.47.2.94120,https://api.elsevier.com/content/abstract/scopus_id/85201049609
Enhancing Manufacturing Efficiency at Telkom University: Advanced Automation of Bucket Conveyor and Hammer Mill Machine with PLC and HMI Trough the Waterfall Method,Kusnayat A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-05-01,10.37934/ARASET.47.2.223236,https://api.elsevier.com/content/abstract/scopus_id/85201043004
